Id,Label,weight,Degree,Modularity Class
latingrammy,latingrammy,40,8,47
mikebrown,mikebrown,94,16,65
prayfor@callen11111,prayfor@callen11111,37,0,54
brownfamily,brownfamily,31,2,65
moemoneyent,moemoneyent,645,0,55
gopro,gopro,50,1,17
racist,racist,34,3,65
pencintarasulallah,pencintarasulallah,554,3,65
indiana,indiana,45,1,65
força,força,36,6,86
winterwonderland,winterwonderland,51,2,73
"cepot,,,,,","cepot,,,,,",78,1,65
prayfor_______2k14,prayfor_______2k14,51,0,56
อำนาจในหิน,อำนาจในหิน,25,0,57
myfavsinger,myfavsinger,361,4,58
boy,boy,17,10,21
moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶,moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶,23,0,59
prayfor.tnh,prayfor.tnh,31,0,60
fridaysbarrakalloh,fridaysbarrakalloh,37,4,65
weareallmonkeys,weareallmonkeys,34,3,65
mh370,mh370,45,3,9
talentedsinger,talentedsinger,216,2,58
voicesavereagan,voicesavereagan,51,0,61
newmusic,newmusic,12,0,62
p2,p2,11,9,49
beastmode,beastmode,15,0,63
forçaneymar,forçaneymar,36,6,86
weloveulama,weloveulama,554,3,65
twostepsback,twostepsback,33,7,42
gotta,gotta,33,7,42
prayfor@emedemixta.,prayfor@emedemixta.,45,0,64
justicefor,justicefor,94,2,65
prayfor,prayfor,7482,90,65
mikebrownfamily,mikebrownfamily,138,1,65
sadness,sadness,28,3,85
forwardnaija,forwardnaija,51,2,38
เอาหมวยมาสู้,เอาหมวยมาสู้,39,0,66
neymar,neymar,36,6,86
1.,1.,25,1,65
staystrongally,staystrongally,32,0,67
"51""","51""",55,2,34
mh17,mh17,23,3,9
staystrong,staystrong,58,1,65
prayfor.....,prayfor.....,27,0,68
prayer,prayer,27,4,7
prayforlampung,prayforlampung,69,0,69
nobiasnesshere,nobiasnesshere,25,0,70
…,…,31,0,71
year-young,year-young,17,10,21
prayforgoldengetindonesia,prayforgoldengetindonesia,52,0,72
skisunburst,skisunburst,51,2,73
yanolovuelvoahacer,yanolovuelvoahacer,54,2,65
49,49,155,3,34
newsroom,newsroom,27,4,7
